"agents,0,boundary,mass","agents,0,boundary,volume","agents,0,boundary,width","agents,0,boundary,length","agents,0,boundary,surface_area","agents,0,internal,protein","agents,1,boundary,mass","agents,1,boundary,volume","agents,1,boundary,width","agents,1,boundary,length","agents,1,boundary,surface_area","agents,1,internal,protein","agents,00,boundary,mass","agents,00,boundary,volume","agents,00,boundary,width","agents,00,boundary,length","agents,00,boundary,surface_area","agents,00,internal,protein","agents,01,boundary,mass","agents,01,boundary,volume","agents,01,boundary,width","agents,01,boundary,length","agents,01,boundary,surface_area","agents,01,internal,protein","agents,10,boundary,mass","agents,10,boundary,volume","agents,10,boundary,width","agents,10,boundary,length","agents,10,boundary,surface_area","agents,10,internal,protein","agents,11,boundary,mass","agents,11,boundary,volume","agents,11,boundary,width","agents,11,boundary,length","agents,11,boundary,surface_area","agents,11,internal,protein","colony_global,mass","colony_global,volume",time
1735.2632972463864,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,50000000.0,1735.2632972463864,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,50000000.0,1750.6933452486658,1.582018772265326,1.0,2.1809555280282513,6.458974782960878,50444602.5,1750.6933452486658,1.582018772265326,1.0,2.1809555280282513,6.458974782960878,50444602.5,1750.693379953932,1.5820187880404468,1.0,2.1809555481137592,6.458974846061363,50444603.5,1750.693379953932,1.5820187880404468,1.0,2.1809555481137592,6.458974846061363,50444603.5,3470.526594492773,2.4345454545454546,0.0
1745.7061811797469,1.5775120884058058,1.0,2.341884106589357,6.571847741422372,50300902.0,1745.7061811797469,1.5775120884058058,1.0,2.341884106589357,6.571847741422372,50300902.0,1761.2291004736953,1.5915394047715143,1.0,2.359744240492688,6.6279570068852065,50748180.5,1761.2291004736953,1.5915394047715143,1.0,2.359744240492688,6.6279570068852065,50748180.5,1761.2291351789613,1.5915394363217563,1.0,2.359744280663704,6.627957133086174,50748181.5,1761.2291351789613,1.5915394363217563,1.0,2.359744280663704,6.627957133086174,50748181.5,3491.4123623594937,3.1550241768116116,1.0
1756.2119163497339,1.5870056192543154,1.0,2.353971645484843,6.6098218648164115,50603615.0,1756.2119163497339,1.5870056192543154,1.0,2.353971645484843,6.6098218648164115,50603615.0,1771.82822751434,1.6011173640669958,1.0,2.3719392770255587,6.666268844067132,51053584.5,1771.8282622196061,1.6011173640669958,1.0,2.3719392770255587,6.666268844067132,51053585.5,1771.828296924872,1.6011173956172375,1.0,2.3719393171965746,6.6662689702681,51053586.5,1771.8282622196061,1.6011173956172375,1.0,2.3719393171965746,6.6662689702681,51053585.5,3512.4238326994678,3.1740112385086308,2.0
1766.7808498090064,1.5965562875906671,1.0,2.366131934089336,6.648024538161818,50908149.0,1766.7808498090064,1.5965562875906671,1.0,2.366131934089336,6.648024538161818,50908149.0,1782.4911775390576,1.6107529341039453,1.0,2.384207665832668,6.70481112421493,51360827.5,1782.4912122443234,1.6107529656541875,1.0,2.3842077060036844,6.7048112504159,51360828.5,1782.4912469495891,1.610752997204429,1.0,2.3842077461746998,6.704811376616867,51360829.5,1782.4912122443234,1.6107529656541875,1.0,2.3842077060036844,6.7048112504159,51360828.5,3533.561699618013,3.1931125751813343,3.0
1777.413398020756,1.6061644089172786,1.0,2.378365374112991,6.686457023468264,51214516.0,1777.413398020756,1.6061644089172786,1.0,2.378365374112991,6.686457023468264,51214516.0,1793.218297600507,1.620446525035507,1.0,2.396549929137219,6.7435854879411785,51669919.5,1793.2183323057727,1.6204465565857484,1.0,2.396549969308234,6.743585614142144,51669920.5,1793.218367011039,1.6204465881359902,1.0,2.396550009479249,6.743585740343109,51669921.5,1793.2183323057727,1.6204465565857484,1.0,2.396549969308234,6.743585614142144,51669920.5,3554.826796041512,3.2123288178345573,4.0
1788.1099427429083,1.6158303618370509,1.0,2.3906724476079937,6.725120835147354,51522727.0,1788.1099080376423,1.6158303618370509,1.0,2.3906724476079937,6.725120835147354,51522726.0,1804.009969456614,1.6301984523640973,1.0,2.4089664686493637,6.782593197255539,51980871.5,1804.0100041618803,1.6301984839143389,1.0,2.408966508820379,6.782593323456506,51980872.5,1804.010038867146,1.6301985154645808,1.0,2.4089665489913945,6.782593449657473,51980873.5,1804.0100041618803,1.6301984839143389,1.0,2.408966508820379,6.782593323456506,51980872.5,3576.2198507805506,3.2316607236741017,5.0
1798.8708310281224,1.6255544934026438,1.0,2.4030535964555138,6.764017361409725,51832792.0,1798.8708310281224,1.625554461852402,1.0,2.4030535562844983,6.764017235208758,51832792.0,1814.8665401600385,1.6400090631423765,1.0,2.4214577262502734,6.821835640368655,52293693.5,1814.8665748653043,1.6400090946926185,1.0,2.4214577664212893,6.821835766569623,52293694.5,1814.86660957057,1.64000912624286,1.0,2.4214578065923043,6.821835892770589,52293695.5,1814.8665748653043,1.6400090946926185,1.0,2.4214577664212893,6.821835766569623,52293694.5,3597.741662056245,3.251108955255046,6.0
1809.6965140448553,1.635337119116475,1.0,2.4155092223657064,6.803147864265049,52144724.0,1809.6964793395894,1.635337119116475,1.0,2.4155092223657064,6.803147864265049,52144723.0,1825.7884955845027,1.6498786728727624,1.0,2.4340241036501036,6.8613140792901985,52608399.5,1825.7884955845027,1.6498787044230039,1.0,2.4340241438211185,6.861314205491164,52608399.5,1825.7885649950347,1.6498787359732454,1.0,2.434024183992134,6.861314331692131,52608401.5,1825.788530289769,1.6498787044230039,1.0,2.4340241438211185,6.861314205491164,52608400.5,3619.3929933844447,3.27067423823295,7.0
1820.5873388457674,1.6451786491316867,1.0,2.4280398475617724,6.842513984325897,52458533.0,1820.5873041405014,1.645178617581445,1.0,2.4280398073907565,6.842513858124929,52458532.0,1836.7761480774009,1.6598077232586388,1.0,2.4466661632430693,6.901030280833703,52924998.5,1836.7761480774009,1.6598077232586388,1.0,2.4466661632430693,6.901030280833703,52924998.5,1836.7762174879329,1.6598077863591225,1.0,2.446666243585101,6.90103053323564,52925000.5,1836.7762174879329,1.6598077548088808,1.0,2.446666203414085,6.901030407034672,52925000.5,3641.1746429862687,3.290357266713132,8.0
1831.543687188783,1.6550793989506976,1.0,2.4406458737538665,6.88211698360194,52774230.0,1831.5436524835172,1.6550793674004558,1.0,2.4406458335828507,6.882116857400972,52774229.0,1847.829914101924,1.6697964982521827,1.0,2.4593842665683114,6.940985380807881,53243502.5,1847.829914101924,1.6697964982521827,1.0,2.4593842665683114,6.940985380807881,53243502.5,1847.8299835124558,1.6697965613526662,1.0,2.4593843469103422,6.940985633209814,53243504.5,1847.8299835124558,1.6697965613526662,1.0,2.4593843469103422,6.940985633209814,53243504.5,3663.0873396723,3.3101587663511536,9.0
