global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
1339.0,1.2172727272727277e-15,1.0,1.8832131064245905,5.130890296890058,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01,1.0,0.0,0.0
1339.3867742141856,1.2176243401947146e-15,1.0,1.8836607939013041,5.132296748578006,0.0,0.0,733.0,0.0,0.001,0.0,0.5004107542942494,0.01,0.9999999999999992,0.0,1.0
1339.7736601492768,1.217976054681161e-15,1.0,1.884108610693904,5.133703606523792,0.0,0.0,733.0,733.0,0.001,0.001,0.5008210526343975,0.01,0.9999999999999984,0.0,2.0
1340.1606578375447,1.2183278707614046e-15,1.0,1.884556556839744,5.135110870844767,0.0,0.0,733.0,1466.0,0.001,0.001999,0.5012308947139729,0.01,0.9999999999999977,0.0,3.0
1340.5477673112696,1.218679788464791e-15,1.0,1.8850046323761878,5.136518541658312,0.0,0.0,733.0,2199.0,0.001,0.002997001,0.501640281136341,0.01,0.9999999999999969,0.0,4.0
1340.9349886027408,1.2190318078206738e-15,1.0,1.88545283734061,5.137926619081844,0.0,0.0,734.0,2932.0,0.001,0.003994003999,0.5020492125039558,0.01,0.9999999999999961,0.0,5.0
1341.3223217442574,1.2193839288584161e-15,1.0,1.8859011717703968,5.139335103232813,0.0,0.0,734.0,3664.0,0.001,0.004990009995001,0.502457689418362,0.01,0.9999999999999953,0.0,6.0
1341.7097667681276,1.2197361516073892e-15,1.0,1.8863496357029446,5.140743994228705,0.0,0.0,734.0,4396.0,0.001,0.005985019985005999,0.502865712480196,0.01,0.9999999999999946,0.0,7.0
1342.097323706669,1.220088476096972e-15,1.0,1.88679822917566,5.142153292187036,0.0,0.0,734.0,5127.0,0.001,0.006979034965020993,0.5032732822891876,0.01,0.9999999999999938,0.0,8.0
1342.4849925922083,1.2204409023565533e-15,1.0,1.8872469522259623,5.143562997225362,0.0,0.0,734.0,5859.0,0.001,0.007972055930055972,0.5036803994441618,0.01,0.999999999999993,0.0,9.0
1342.8727734570818,1.2207934304155294e-15,1.0,1.887695804891279,5.144973109461265,0.0,0.0,735.0,6590.0,0.001,0.008964083874125915,0.50408706454304,0.01,0.9999999999999922,0.0,10.0
1343.2606663336353,1.2211460603033052e-15,1.0,1.8881447872090509,5.1463836290123695,0.0,0.0,735.0,7320.0,0.001,0.00995511979025179,0.5044932781828416,0.01,0.9999999999999915,0.0,11.0
1343.6486712542235,1.2214987920492944e-15,1.0,1.888593899216728,5.1477945559963265,0.0,0.0,735.0,8051.0,0.001,0.010945164670461537,0.5048990409596857,0.01,0.9999999999999907,0.0,12.0
1344.0367882512107,1.221851625682919e-15,1.0,1.8890431409517714,5.1492058905308244,0.0,0.0,735.0,8781.0,0.001,0.011934219505791075,0.5053043534687922,0.01,0.9999999999999899,0.0,13.0
1344.4250173569706,1.22220456123361e-15,1.0,1.8894925124516537,5.150617632733588,0.0,0.0,736.0,9511.0,0.001,0.012922285286285284,0.5057092163044835,0.01,0.9999999999999891,0.0,14.0
1344.813358603886,1.2225575987308058e-15,1.0,1.889942013753858,5.152029782722372,0.0,0.0,736.0,10240.0,0.001,0.013909363000998999,0.5061136300601863,0.01,0.9999999999999883,0.0,15.0
1345.2018120243492,1.2229107382039543e-15,1.0,1.8903916448958773,5.153442340614965,0.0,0.0,736.0,10969.0,0.001,0.014895453637998,0.5065175953284327,0.01,0.9999999999999876,0.0,16.0
1345.590377650762,1.2232639796825114e-15,1.0,1.8908414059152172,5.154855306529194,0.0,0.0,736.0,11698.0,0.001,0.015880558184360002,0.5069211127008618,0.01,0.9999999999999868,0.0,17.0
1345.9790555155355,1.2236173231959416e-15,1.0,1.891291296849392,5.156268680582914,0.0,0.0,736.0,12427.0,0.001,0.01686467762617564,0.5073241827682216,0.01,0.999999999999986,0.0,18.0
1346.3678456510897,1.2239707687737184e-15,1.0,1.8917413177359292,5.157682462894021,0.0,0.0,737.0,13155.0,0.001,0.017847812948549466,0.5077268061203695,0.01,0.9999999999999852,0.0,19.0
1346.7567480898547,1.2243243164453227e-15,1.0,1.8921914686123649,5.1590966535804395,0.0,0.0,737.0,13883.0,0.001,0.018829965135600917,0.5081289833462749,0.01,0.9999999999999845,0.0,20.0
1347.1457628642695,1.2246779662402453e-15,1.0,1.892641749516248,5.16051125276013,0.0,0.0,737.0,14611.0,0.001,0.019811135170465316,0.50853071503402,0.01,0.9999999999999837,0.0,21.0
1347.5348900067827,1.2250317181879845e-15,1.0,1.8930921604851365,5.161926260551086,0.0,0.0,737.0,15338.0,0.001,0.02079132403529485,0.5089320017708018,0.01,0.9999999999999829,0.0,22.0
1347.924129549852,1.2253855723180476e-15,1.0,1.8935427015566009,5.1633416770713385,0.0,0.0,737.0,16065.0,0.001,0.021770532711259557,0.5093328441429328,0.01,0.9999999999999821,0.0,23.0
1348.313481525945,1.2257395286599503e-15,1.0,1.893993372768221,5.164757502438949,0.0,0.0,738.0,16792.0,0.001,0.022748762178548296,0.5097332427358434,0.01,0.9999999999999813,0.0,24.0
1348.702945967538,1.2260935872432166e-15,1.0,1.8944441741575888,5.1661737367720155,0.0,0.0,738.0,17518.0,0.001,0.02372601341636975,0.5101331981340826,0.01,0.9999999999999806,0.0,25.0
1349.092522907117,1.2264477480973794e-15,1.0,1.8948951057623058,5.167590380188665,0.0,0.0,738.0,18244.0,0.001,0.02470228740295338,0.5105327109213201,0.01,0.9999999999999798,0.0,26.0
1349.4822123771776,1.2268020112519798e-15,1.0,1.8953461676199859,5.169007432807068,0.0,0.0,738.0,18970.0,0.001,0.025677585115550426,0.5109317816803475,0.01,0.999999999999979,0.0,27.0
1349.8720144102242,1.2271563767365677e-15,1.0,1.8957973597682525,5.17042489474542,0.0,0.0,739.0,19696.0,0.001,0.026651907530434876,0.5113304109930794,0.01,0.9999999999999782,0.0,28.0
1350.2619290387713,1.2275108445807016e-15,1.0,1.8962486822447406,5.171842766121955,0.0,0.0,739.0,20421.0,0.001,0.02762525562290444,0.5117285994405555,0.01,0.9999999999999775,0.0,29.0
1350.6519562953424,1.227865414813948e-15,1.0,1.8967001350870958,5.17326104705494,0.0,0.0,739.0,21146.0,0.001,0.028597630367281537,0.5121263476029416,0.01,0.9999999999999767,0.0,30.0
1351.0420962124704,1.2282200874658824e-15,1.0,1.897151718332975,5.174679737662679,0.0,0.0,739.0,21870.0,0.001,0.029569032736914257,0.5125236560595315,0.01,0.9999999999999759,0.0,31.0
1351.4323488226976,1.2285748625660889e-15,1.0,1.8976034320200452,5.1760988380635045,0.0,0.0,739.0,22595.0,0.001,0.030539463704177344,0.512920525388748,0.01,0.9999999999999751,0.0,32.0
1351.8227141585758,1.22892974014416e-15,1.0,1.898055276185985,5.177518348375788,0.0,0.0,740.0,23319.0,0.001,0.03150892424047317,0.5133169561681445,0.01,0.9999999999999744,0.0,33.0
1352.213192252666,1.2292847202296966e-15,1.0,1.898507250868484,5.1789382687179355,0.0,0.0,740.0,24042.0,0.001,0.032477415316232695,0.5137129489744069,0.01,0.9999999999999736,0.0,34.0
1352.6037831375388,1.2296398028523085e-15,1.0,1.8989593561052414,5.1803585992083825,0.0,0.0,740.0,24766.0,0.001,0.03344493790091646,0.5141085043833542,0.01,0.9999999999999728,0.0,35.0
1352.9944868457744,1.2299949880416133e-15,1.0,1.8994115919339687,5.181779339965601,0.0,0.0,740.0,25489.0,0.001,0.034411492963015544,0.5145036229699405,0.01,0.999999999999972,0.0,36.0
1353.385303409962,1.2303502758272385e-15,1.0,1.899863958392388,5.183200491108102,0.0,0.0,740.0,26212.0,0.001,0.03537708147005253,0.5148983053082566,0.01,0.9999999999999712,0.0,37.0
1353.7762328627005,1.230705666238819e-15,1.0,1.9003164555182317,5.184622052754423,0.0,0.0,741.0,26934.0,0.001,0.036341704388582474,0.515292551971531,0.01,0.9999999999999705,0.0,38.0
