internal_EIIglc,internal_g6p_c,internal_pep_c,internal_pyr_c,internal_LacY,internal_lcts_p,external_glc__D_e,external_lcts_e,global_volume,global_width,global_length,global_surface_area,time
0.0018,0.0,0.18,0.0,0.0,0.0,1.0,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,0.0
0.0018,0.054,0.126,0.054,0.0,0.0,0.9999342675620847,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,1.0
0.0018,0.1079982251658442,0.0720017748341558,0.1079982251658442,0.0,0.0,0.9998685384452475,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,2.0
0.0018,0.16199467547054164,0.018005324529458355,0.16199467547054164,0.0,0.0,0.9998028109889493,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,3.0
0.0018,0.21598935084226417,-0.035989350842264185,0.21598935084226417,0.0,0.0,0.9997370851931902,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,4.0
0.0018,0.26998225120918096,-0.08998225120918099,0.26998225120918096,0.0,0.0,0.9996713627185091,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,5.0
0.0018,0.3239733765443078,-0.14397337654430786,0.3239733765443078,0.0,0.0,0.9996056419043671,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,6.0
0.0018,0.3779627267758145,-0.19796272677581456,0.3779627267758145,0.0,0.0,0.9995399227507641,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,7.0
0.0018,0.4319503018318681,-0.2519503018318682,0.4319503018318681,0.0,0.0,0.9994742052577001,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,8.0
0.0018,0.48593610164063306,-0.3059361016406331,0.48593610164063306,0.0,0.0,0.9994084910857143,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,9.0
0.0018,0.5399201261751322,-0.35992012617513225,0.5399201261751322,0.0,0.0,0.9993427785742675,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,10.0
0.0018,0.5939023753635305,-0.41390237536353064,0.5939023753635305,0.0,0.0,0.9992770677233597,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,11.0
0.0018,0.6478828491339904,-0.4678828491339906,0.6478828491339904,0.0,0.0,0.99921136019353,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,12.0
0.0018,0.7018615474595415,-0.5218615474595417,0.7018615474595415,0.0,0.0,0.9991456543242393,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,13.0
0.0018,0.7558384702683467,-0.5758384702683469,0.7558384702683467,0.0,0.0,0.9990799501154877,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,14.0
0.0018,0.8098136174885663,-0.6298136174885665,0.8098136174885663,0.0,0.0,0.9990142492278141,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,15.0
0.0018,0.8637869890932366,-0.6837869890932368,0.8637869890932366,0.0,0.0,0.9989485500006796,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,16.0
0.0018,0.9177585850105185,-0.7377585850105187,0.9177585850105185,0.0,0.0,0.9988828524340841,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,17.0
0.0018,0.9717284051685703,-0.7917284051685705,0.9717284051685703,0.0,0.0,0.9988171565280277,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,18.0
0.0018,1.0256964494955474,-0.8456964494955476,1.0256964494955474,0.0,0.0,0.9987514639430494,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,19.0
0.0018,1.0796627179644933,-0.8996627179644935,1.0796627179644933,0.0,0.0,0.9986857730186101,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,20.0
0.0018,1.133627210503564,-0.9536272105035644,1.133627210503564,0.0,0.0,0.9986200837547098,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,21.0
0.0018,1.1875899270409134,-1.0075899270409137,1.1875899270409134,0.0,0.0,0.9985543978118876,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,22.0
0.0018,1.2415508675495912,-1.0615508675495915,1.2415508675495912,0.0,0.0,0.9984887135296044,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,23.0
